"","var_id","code","original_1","original_2","original_3","code_description","shortname"
"281","line_16",32,5,NA,NA,"Simple strophe with a moderate amount of variation.","SimpleStropheModerateVariation"
"282","line_16",9216,13,10,NA,"Canonic form and simple litany high variation","CanonicFormAndSimpleLitanyHighVariation"
"283","line_16",12288,13,12,NA,"Canonic form and simple litany","CanonicFormAndSimpleLitany"
"284","line_16",512,9,NA,NA,"Complex litany is similar to 12 (simple litany), but involves certain complications. Refer to guide","ComplexLitanyComplexVariation"
"285","line_16",4,2,NA,NA,"Complex strophe with moderate to great variation.","ComplexStropheModerateVariation"
"286","line_16",130,7,1,NA,"Complex litany high variation and through composed","ComplexLitanyHighVariationAndThroughComposed"
"287","line_16",256,8,NA,NA,"Complex litany with a moderate degree of variation in each section.","ComplexLitanyModerateVariation"
"288","line_16",8192,13,NA,NA,"Canonic or round form. Found only in certain types of polyphonic singing. The music is divided into two or more parts, each of which is rhythmically distinct. Each part is limited to one or two phrases repeated over and over. Simple rounds or canons are included here, and also the hocketing “bell chime” singing common among African Khoisan-speaking Bushmen and hunter-gatherers of Central and Eastern Africa.","CanonicForm"
"289","line_16",5120,12,10,NA,"Simple litany and simple litany high variation","SimpleLitanyAndSimpleLitanyHighVariation"
"290","line_16",16,4,NA,NA,"Simple strophe with much variation.","SimpleStropheMuchVariation"
"291","line_16",0,0,NA,NA,"No Reading","No Reading"
"292","line_16",10240,13,11,NA,"Canonic form and simple litany moderate variation","CanonicFormAndSimpleLitanyModerateVariation"
"293","line_16",18,4,1,NA,"Simple strophe much variation and through composed","SimpleStropheMuchVariationAndThroughComposed"
"294","line_16",132,7,2,NA,"Complex litany high variation and complex strophe moderate variation","ComplexLitanyHighVariationAndComplexStropheModerateVariation"
"295","line_16",6,2,1,NA,"Complex strophe moderate variation and through composed","ComplexStropheModerateVariationAndThroughComposed"
"296","line_16",72,6,3,NA,"Simple strophe little variation and complex strophe little variation","SimpleStropheLittleVariationAndComplexStropheLittleVariation"
"297","line_16",4608,12,9,NA,"Simple litany and complex litany complex variation","SimpleLitanyAndComplexLitanyComplexVariation"
